全模块合成测试账号；密码统一 123456。学生登录用一卡通号。
账号 | 密码 | 角色 | 姓名/说明 | 场景 | 首次改密
TESTTEACHER020 | 123456 | TEACHER | 任课教师020 | 课程管理、图书借阅、普通买家 | 否
TESTTEACHER021 | 123456 | TEACHER | 任课教师021 | 课程管理、图书借阅、普通买家 | 否
TESTTEACHER022 | 123456 | TEACHER | 任课教师022 | 课程管理、图书借阅、普通买家 | 否
TESTTEACHER023 | 123456 | TEACHER | 任课教师023 | 课程管理、图书借阅、普通买家 | 否
TESTTEACHER024 | 123456 | TEACHER | 任课教师024 | 课程管理、图书借阅、普通买家 | 否
TESTTEACHER025 | 123456 | TEACHER | 任课教师025 | 课程管理、图书借阅、普通买家 | 否
TESTTEACHER026 | 123456 | TEACHER | 任课教师026 | 课程管理、图书借阅、普通买家 | 否
TESTTEACHER027 | 123456 | TEACHER | 任课教师027 | 课程管理、图书借阅、普通买家 | 否
TESTTEACHER028 | 123456 | TEACHER | 任课教师028 | 课程管理、图书借阅、普通买家 | 否
TESTTEACHER029 | 123456 | TEACHER | 任课教师029 | 课程管理、图书借阅、普通买家 | 否
TESTTEACHER030 | 123456 | TEACHER | 任课教师030 | 课程管理、图书借阅、普通买家 | 否
TESTTEACHER031 | 123456 | TEACHER | 任课教师031 | 课程管理、图书借阅、普通买家 | 否
TESTTEACHER032 | 123456 | TEACHER | 任课教师032 | 课程管理、图书借阅、普通买家 | 否
TESTTEACHER033 | 123456 | TEACHER | 任课教师033 | 课程管理、图书借阅、普通买家 | 否
TESTTEACHER034 | 123456 | TEACHER | 任课教师034 | 课程管理、图书借阅、普通买家 | 否
TESTTEACHER035 | 123456 | TEACHER | 任课教师035 | 课程管理、图书借阅、普通买家 | 否
TESTTEACHER036 | 123456 | TEACHER | 任课教师036 | 课程管理、图书借阅、普通买家 | 否
TESTTEACHER037 | 123456 | TEACHER | 任课教师037 | 课程管理、图书借阅、普通买家 | 否
TESTTEACHER038 | 123456 | TEACHER | 任课教师038 | 课程管理、图书借阅、普通买家 | 否
TESTTEACHER039 | 123456 | TEACHER | 任课教师039 | 课程管理、图书借阅、普通买家 | 否
TESTTEACHER040 | 123456 | TEACHER | 任课教师040 | 课程管理、图书借阅、普通买家 | 否
TESTTEACHER041 | 123456 | TEACHER | 任课教师041 | 课程管理、图书借阅、普通买家 | 否
TESTTEACHER042 | 123456 | TEACHER | 任课教师042 | 课程管理、图书借阅、普通买家 | 否
TESTTEACHER043 | 123456 | TEACHER | 任课教师043 | 课程管理、图书借阅、普通买家 | 否
TESTTEACHER044 | 123456 | TEACHER | 任课教师044 | 课程管理、图书借阅、普通买家 | 否
TESTTEACHER045 | 123456 | TEACHER | 任课教师045 | 课程管理、图书借阅、普通买家 | 否
TESTTEACHER046 | 123456 | TEACHER | 任课教师046 | 课程管理、图书借阅、普通买家 | 否
TESTTEACHER047 | 123456 | TEACHER | 任课教师047 | 课程管理、图书借阅、普通买家 | 否
TESTTEACHER048 | 123456 | TEACHER | 任课教师048 | 课程管理、图书借阅、普通买家 | 否
TESTTEACHER049 | 123456 | TEACHER | 任课教师049 | 课程管理、图书借阅、普通买家 | 否
TESTTEACHER050 | 123456 | TEACHER | 任课教师050 | 课程管理、图书借阅、普通买家 | 否
213260001 | 123456 | STUDENT | 赵明轩 | 店主；学籍=ACTIVE | 否
213260002 | 123456 | STUDENT | 钱明轩 | 店主；学籍=ACTIVE | 否
213260003 | 123456 | STUDENT | 孙明轩 | 店主；学籍=ACTIVE | 否
213260004 | 123456 | STUDENT | 李明轩 | 店主；学籍=ACTIVE | 否
213260005 | 123456 | STUDENT | 周明轩 | 店主；学籍=ACTIVE | 否
213260006 | 123456 | STUDENT | 吴明轩 | 店主；学籍=ACTIVE | 否
213260007 | 123456 | STUDENT | 郑明轩 | 店主；学籍=ACTIVE | 否
213260008 | 123456 | STUDENT | 王明轩 | 店主；学籍=ACTIVE | 否
213260009 | 123456 | STUDENT | 冯明轩 | 店主；学籍=ACTIVE | 否
213260010 | 123456 | STUDENT | 陈明轩 | 店主；学籍=ACTIVE | 否
213260011 | 123456 | STUDENT | 褚明轩 | 店主；学籍=ACTIVE | 否
213260012 | 123456 | STUDENT | 卫明轩 | 店主；学籍=ACTIVE | 否
213260013 | 123456 | STUDENT | 蒋明轩 | 店主；学籍=ACTIVE | 否
213260014 | 123456 | STUDENT | 沈明轩 | 店主；学籍=ACTIVE | 否
213260015 | 123456 | STUDENT | 韩明轩 | 店主；学籍=ACTIVE | 否
213260016 | 123456 | STUDENT | 杨明轩 | 店主；学籍=ACTIVE | 否
213260017 | 123456 | STUDENT | 赵雨桐 | 店主；学籍=ACTIVE | 否
213260018 | 123456 | STUDENT | 钱雨桐 | 店主；学籍=ACTIVE | 否
213260019 | 123456 | STUDENT | 孙雨桐 | 店主；学籍=ACTIVE | 否
213260020 | 123456 | STUDENT | 李雨桐 | 店主；学籍=ACTIVE | 否
213260021 | 123456 | STUDENT | 周雨桐 | 店主；学籍=ACTIVE | 否
213260022 | 123456 | STUDENT | 吴雨桐 | 店主；学籍=ACTIVE | 否
213260023 | 123456 | STUDENT | 郑雨桐 | 店主；学籍=ACTIVE | 否
213260024 | 123456 | STUDENT | 王雨桐 | 店主；学籍=ACTIVE | 否
213260025 | 123456 | STUDENT | 冯雨桐 | 店主；学籍=ACTIVE | 否
213260026 | 123456 | STUDENT | 陈雨桐 | 店主；学籍=ACTIVE | 否
213260027 | 123456 | STUDENT | 褚雨桐 | 店主；学籍=ACTIVE | 否
213260028 | 123456 | STUDENT | 卫雨桐 | 店主；学籍=ACTIVE | 否
213260029 | 123456 | STUDENT | 蒋雨桐 | 店主；学籍=ACTIVE | 否
213260030 | 123456 | STUDENT | 沈雨桐 | 店主；学籍=ACTIVE | 否
213260031 | 123456 | STUDENT | 韩雨桐 | 开店申请；学籍=ACTIVE | 否
213260032 | 123456 | STUDENT | 杨雨桐 | 开店申请；学籍=ACTIVE | 否
213260033 | 123456 | STUDENT | 赵子涵 | 开店申请；学籍=ACTIVE | 否
213260034 | 123456 | STUDENT | 钱子涵 | 开店申请；学籍=ACTIVE | 否
213260035 | 123456 | STUDENT | 孙子涵 | 开店申请；学籍=ACTIVE | 否
213260036 | 123456 | STUDENT | 李子涵 | 开店申请；学籍=ACTIVE | 否
213260037 | 123456 | STUDENT | 周子涵 | 开店申请；学籍=ACTIVE | 否
213260038 | 123456 | STUDENT | 吴子涵 | 开店申请；学籍=ACTIVE | 否
213260039 | 123456 | STUDENT | 郑子涵 | 开店申请；学籍=ACTIVE | 否
213260040 | 123456 | STUDENT | 王子涵 | 开店申请；学籍=ACTIVE | 否
213260041 | 123456 | STUDENT | 冯子涵 | 开店申请；学籍=ACTIVE | 否
213260042 | 123456 | STUDENT | 陈子涵 | 开店申请；学籍=ACTIVE | 否
213260043 | 123456 | STUDENT | 褚子涵 | 开店申请；学籍=ACTIVE | 否
213260044 | 123456 | STUDENT | 卫子涵 | 开店申请；学籍=ACTIVE | 否
213260045 | 123456 | STUDENT | 蒋子涵 | 开店申请；学籍=ACTIVE | 否
213260046 | 123456 | STUDENT | 沈子涵 | 普通学生；学籍=ACTIVE | 否
213260047 | 123456 | STUDENT | 韩子涵 | 普通学生；学籍=ACTIVE | 否
213260048 | 123456 | STUDENT | 杨子涵 | 普通学生；学籍=ACTIVE | 否
213260049 | 123456 | STUDENT | 赵思远 | 普通学生；学籍=ACTIVE | 否
213260050 | 123456 | STUDENT | 钱思远 | 普通学生；学籍=ACTIVE | 否
213260051 | 123456 | STUDENT | 孙思远 | 普通学生；学籍=ACTIVE | 否
213260052 | 123456 | STUDENT | 李思远 | 普通学生；学籍=ACTIVE | 否
213260053 | 123456 | STUDENT | 周思远 | 普通学生；学籍=ACTIVE | 否
213260054 | 123456 | STUDENT | 吴思远 | 普通学生；学籍=ACTIVE | 否
213260055 | 123456 | STUDENT | 郑思远 | 普通学生；学籍=ACTIVE | 否
213260056 | 123456 | STUDENT | 王思远 | 普通学生；学籍=ACTIVE | 否
213260057 | 123456 | STUDENT | 冯思远 | 普通学生；学籍=ACTIVE | 否
213260058 | 123456 | STUDENT | 陈思远 | 普通学生；学籍=ACTIVE | 否
213260059 | 123456 | STUDENT | 褚思远 | 普通学生；学籍=ACTIVE | 否
213260060 | 123456 | STUDENT | 卫思远 | 普通学生；学籍=ACTIVE | 否
213260061 | 123456 | STUDENT | 蒋思远 | 普通学生；学籍=ACTIVE | 否
213260062 | 123456 | STUDENT | 沈思远 | 普通学生；学籍=ACTIVE | 否
213260063 | 123456 | STUDENT | 韩思远 | 普通学生；学籍=ACTIVE | 否
213260064 | 123456 | STUDENT | 杨思远 | 普通学生；学籍=ACTIVE | 否
213260065 | 123456 | STUDENT | 赵欣然 | 普通学生；学籍=ACTIVE | 否
213260066 | 123456 | STUDENT | 钱欣然 | 普通学生；学籍=ACTIVE | 否
213260067 | 123456 | STUDENT | 孙欣然 | 普通学生；学籍=ACTIVE | 否
213260068 | 123456 | STUDENT | 李欣然 | 普通学生；学籍=ACTIVE | 否
213260069 | 123456 | STUDENT | 周欣然 | 普通学生；学籍=ACTIVE | 否
213260070 | 123456 | STUDENT | 吴欣然 | 普通学生；学籍=ACTIVE | 否
213260071 | 123456 | STUDENT | 郑欣然 | 普通学生；学籍=ACTIVE | 否
213260072 | 123456 | STUDENT | 王欣然 | 普通学生；学籍=ACTIVE | 否
213260073 | 123456 | STUDENT | 冯欣然 | 普通学生；学籍=ACTIVE | 否
213260074 | 123456 | STUDENT | 陈欣然 | 普通学生；学籍=ACTIVE | 否
213260075 | 123456 | STUDENT | 褚欣然 | 普通学生；学籍=ACTIVE | 否
213260076 | 123456 | STUDENT | 卫欣然 | 普通学生；学籍=ACTIVE | 否
213260077 | 123456 | STUDENT | 蒋欣然 | 普通学生；学籍=ACTIVE | 否
213260078 | 123456 | STUDENT | 沈欣然 | 普通学生；学籍=ACTIVE | 否
213260079 | 123456 | STUDENT | 韩欣然 | 普通学生；学籍=ACTIVE | 否
213260080 | 123456 | STUDENT | 杨欣然 | 普通学生；学籍=ACTIVE | 否
213260081 | 123456 | STUDENT | 赵浩宇 | 普通学生；学籍=ACTIVE | 否
213260082 | 123456 | STUDENT | 钱浩宇 | 普通学生；学籍=ACTIVE | 否
213260083 | 123456 | STUDENT | 孙浩宇 | 普通学生；学籍=ACTIVE | 否
213260084 | 123456 | STUDENT | 李浩宇 | 普通学生；学籍=ACTIVE | 否
213260085 | 123456 | STUDENT | 周浩宇 | 普通学生；学籍=ACTIVE | 否
213260086 | 123456 | STUDENT | 吴浩宇 | 普通学生；学籍=ACTIVE | 否
213260087 | 123456 | STUDENT | 郑浩宇 | 普通学生；学籍=ACTIVE | 否
213260088 | 123456 | STUDENT | 王浩宇 | 普通学生；学籍=ACTIVE | 否
213260089 | 123456 | STUDENT | 冯浩宇 | 普通学生；学籍=ACTIVE | 否
213260090 | 123456 | STUDENT | 陈浩宇 | 普通学生；学籍=ACTIVE | 否
213260091 | 123456 | STUDENT | 褚浩宇 | 普通学生；学籍=ACTIVE | 否
213260092 | 123456 | STUDENT | 卫浩宇 | 普通学生；学籍=ACTIVE | 否
213260093 | 123456 | STUDENT | 蒋浩宇 | 普通学生；学籍=ACTIVE | 否
213260094 | 123456 | STUDENT | 沈浩宇 | 普通学生；学籍=ACTIVE | 否
213260095 | 123456 | STUDENT | 韩浩宇 | 普通学生；学籍=ACTIVE | 否
213260096 | 123456 | STUDENT | 杨浩宇 | 普通学生；学籍=ACTIVE | 否
213260097 | 123456 | STUDENT | 赵若宁 | 普通学生；学籍=ACTIVE | 否
213260098 | 123456 | STUDENT | 钱若宁 | 普通学生；学籍=ACTIVE | 否
213260099 | 123456 | STUDENT | 孙若宁 | 普通学生；学籍=ACTIVE | 否
213260100 | 123456 | STUDENT | 李若宁 | 普通学生；学籍=ACTIVE | 否
213260101 | 123456 | STUDENT | 周若宁 | 订单与购物车；学籍=ACTIVE | 否
213260102 | 123456 | STUDENT | 吴若宁 | 订单与购物车；学籍=ACTIVE | 否
213260103 | 123456 | STUDENT | 郑若宁 | 订单与购物车；学籍=ACTIVE | 否
213260104 | 123456 | STUDENT | 王若宁 | 订单与购物车；学籍=ACTIVE | 否
213260105 | 123456 | STUDENT | 冯若宁 | 订单与购物车；学籍=ACTIVE | 否
213260106 | 123456 | STUDENT | 陈若宁 | 订单与购物车；学籍=ACTIVE | 否
213260107 | 123456 | STUDENT | 褚若宁 | 订单与购物车；学籍=ACTIVE | 否
213260108 | 123456 | STUDENT | 卫若宁 | 订单与购物车；学籍=ACTIVE | 否
213260109 | 123456 | STUDENT | 蒋若宁 | 订单与购物车；学籍=ACTIVE | 否
213260110 | 123456 | STUDENT | 沈若宁 | 订单与购物车；学籍=ACTIVE | 否
213260111 | 123456 | STUDENT | 韩若宁 | 订单与购物车；学籍=ACTIVE | 否
213260112 | 123456 | STUDENT | 杨若宁 | 订单与购物车；学籍=ACTIVE | 否
213260113 | 123456 | STUDENT | 赵文博 | 订单与购物车；学籍=ACTIVE | 否
213260114 | 123456 | STUDENT | 钱文博 | 订单与购物车；学籍=ACTIVE | 否
213260115 | 123456 | STUDENT | 孙文博 | 订单与购物车；学籍=ACTIVE | 否
213260116 | 123456 | STUDENT | 李文博 | 订单与购物车；学籍=ACTIVE | 否
213260117 | 123456 | STUDENT | 周文博 | 订单与购物车；学籍=ACTIVE | 否
213260118 | 123456 | STUDENT | 吴文博 | 订单与购物车；学籍=ACTIVE | 否
213260119 | 123456 | STUDENT | 郑文博 | 订单与购物车；学籍=ACTIVE | 否
213260120 | 123456 | STUDENT | 王文博 | 订单与购物车；学籍=ACTIVE | 否
213260121 | 123456 | STUDENT | 冯文博 | 订单与购物车；学籍=ACTIVE | 否
213260122 | 123456 | STUDENT | 陈文博 | 订单与购物车；学籍=ACTIVE | 否
213260123 | 123456 | STUDENT | 褚文博 | 订单与购物车；学籍=ACTIVE | 否
213260124 | 123456 | STUDENT | 卫文博 | 订单与购物车；学籍=ACTIVE | 否
213260125 | 123456 | STUDENT | 蒋文博 | 订单与购物车；学籍=ACTIVE | 否
213260126 | 123456 | STUDENT | 沈文博 | 订单与购物车；学籍=ACTIVE | 否
213260127 | 123456 | STUDENT | 韩文博 | 订单与购物车；学籍=ACTIVE | 否
213260128 | 123456 | STUDENT | 杨文博 | 订单与购物车；学籍=ACTIVE | 否
213260129 | 123456 | STUDENT | 赵明轩 | 订单与购物车；学籍=ACTIVE | 否
213260130 | 123456 | STUDENT | 钱明轩 | 订单与购物车；学籍=ACTIVE | 否
213260131 | 123456 | STUDENT | 孙明轩 | 订单与购物车；学籍=ACTIVE | 否
213260132 | 123456 | STUDENT | 李明轩 | 订单与购物车；学籍=ACTIVE | 否
213260133 | 123456 | STUDENT | 周明轩 | 订单与购物车；学籍=ACTIVE | 否
213260134 | 123456 | STUDENT | 吴明轩 | 订单与购物车；学籍=ACTIVE | 否
213260135 | 123456 | STUDENT | 郑明轩 | 订单与购物车；学籍=ACTIVE | 否
213260136 | 123456 | STUDENT | 王明轩 | 订单与购物车；学籍=ACTIVE | 否
213260137 | 123456 | STUDENT | 冯明轩 | 订单与购物车；学籍=ACTIVE | 否
213260138 | 123456 | STUDENT | 陈明轩 | 订单与购物车；学籍=ACTIVE | 否
213260139 | 123456 | STUDENT | 褚明轩 | 订单与购物车；学籍=ACTIVE | 否
213260140 | 123456 | STUDENT | 卫明轩 | 订单与购物车；学籍=ACTIVE | 否
213260141 | 123456 | STUDENT | 蒋明轩 | 订单与购物车；学籍=ACTIVE | 否
213260142 | 123456 | STUDENT | 沈明轩 | 订单与购物车；学籍=ACTIVE | 否
213260143 | 123456 | STUDENT | 韩明轩 | 订单与购物车；学籍=ACTIVE | 否
213260144 | 123456 | STUDENT | 杨明轩 | 订单与购物车；学籍=ACTIVE | 否
213260145 | 123456 | STUDENT | 赵雨桐 | 订单与购物车；学籍=ACTIVE | 否
213260146 | 123456 | STUDENT | 钱雨桐 | 订单与购物车；学籍=ACTIVE | 否
213260147 | 123456 | STUDENT | 孙雨桐 | 订单与购物车；学籍=ACTIVE | 否
213260148 | 123456 | STUDENT | 李雨桐 | 订单与购物车；学籍=ACTIVE | 否
213260149 | 123456 | STUDENT | 周雨桐 | 订单与购物车；学籍=ACTIVE | 否
213260150 | 123456 | STUDENT | 吴雨桐 | 订单与购物车；学籍=ACTIVE | 否
213260151 | 123456 | STUDENT | 郑雨桐 | 订单与购物车；学籍=ACTIVE | 否
213260152 | 123456 | STUDENT | 王雨桐 | 订单与购物车；学籍=ACTIVE | 否
213260153 | 123456 | STUDENT | 冯雨桐 | 订单与购物车；学籍=ACTIVE | 否
213260154 | 123456 | STUDENT | 陈雨桐 | 订单与购物车；学籍=ACTIVE | 否
213260155 | 123456 | STUDENT | 褚雨桐 | 订单与购物车；学籍=ACTIVE | 否
213260156 | 123456 | STUDENT | 卫雨桐 | 订单与购物车；学籍=ACTIVE | 否
213260157 | 123456 | STUDENT | 蒋雨桐 | 订单与购物车；学籍=ACTIVE | 否
213260158 | 123456 | STUDENT | 沈雨桐 | 订单与购物车；学籍=ACTIVE | 否
213260159 | 123456 | STUDENT | 韩雨桐 | 订单与购物车；学籍=ACTIVE | 否
213260160 | 123456 | STUDENT | 杨雨桐 | 订单与购物车；学籍=ACTIVE | 否
213260161 | 123456 | STUDENT | 赵子涵 | 订单与购物车；学籍=ACTIVE | 否
213260162 | 123456 | STUDENT | 钱子涵 | 订单与购物车；学籍=ACTIVE | 否
213260163 | 123456 | STUDENT | 孙子涵 | 订单与购物车；学籍=ACTIVE | 否
213260164 | 123456 | STUDENT | 李子涵 | 订单与购物车；学籍=ACTIVE | 否
213260165 | 123456 | STUDENT | 周子涵 | 订单与购物车；学籍=ACTIVE | 否
213260166 | 123456 | STUDENT | 吴子涵 | 订单与购物车；学籍=ACTIVE | 否
213260167 | 123456 | STUDENT | 郑子涵 | 订单与购物车；学籍=ACTIVE | 否
213260168 | 123456 | STUDENT | 王子涵 | 订单与购物车；学籍=ACTIVE | 否
213260169 | 123456 | STUDENT | 冯子涵 | 订单与购物车；学籍=ACTIVE | 否
213260170 | 123456 | STUDENT | 陈子涵 | 订单与购物车；学籍=ACTIVE | 否
213260171 | 123456 | STUDENT | 褚子涵 | 订单与购物车；学籍=ACTIVE | 否
213260172 | 123456 | STUDENT | 卫子涵 | 订单与购物车；学籍=ACTIVE | 否
213260173 | 123456 | STUDENT | 蒋子涵 | 订单与购物车；学籍=ACTIVE | 否
213260174 | 123456 | STUDENT | 沈子涵 | 订单与购物车；学籍=ACTIVE | 否
213260175 | 123456 | STUDENT | 韩子涵 | 订单与购物车；学籍=ACTIVE | 否
213260176 | 123456 | STUDENT | 杨子涵 | 订单与购物车；学籍=ACTIVE | 否
213260177 | 123456 | STUDENT | 赵思远 | 订单与购物车；学籍=ACTIVE | 否
213260178 | 123456 | STUDENT | 钱思远 | 订单与购物车；学籍=ACTIVE | 否
213260179 | 123456 | STUDENT | 孙思远 | 订单与购物车；学籍=ACTIVE | 否
213260180 | 123456 | STUDENT | 李思远 | 订单与购物车；学籍=ACTIVE | 否
213260181 | 123456 | STUDENT | 周思远 | 订单与购物车；学籍=ACTIVE | 否
213260182 | 123456 | STUDENT | 吴思远 | 订单与购物车；学籍=ACTIVE | 否
213260183 | 123456 | STUDENT | 郑思远 | 订单与购物车；学籍=ACTIVE | 否
213260184 | 123456 | STUDENT | 王思远 | 订单与购物车；学籍=ACTIVE | 否
213260185 | 123456 | STUDENT | 冯思远 | 订单与购物车；学籍=ACTIVE | 否
213260186 | 123456 | STUDENT | 陈思远 | 订单与购物车；学籍=ACTIVE | 否
213260187 | 123456 | STUDENT | 褚思远 | 订单与购物车；学籍=ACTIVE | 否
213260188 | 123456 | STUDENT | 卫思远 | 订单与购物车；学籍=ACTIVE | 否
213260189 | 123456 | STUDENT | 蒋思远 | 订单与购物车；学籍=ACTIVE | 否
213260190 | 123456 | STUDENT | 沈思远 | 订单与购物车；学籍=ACTIVE | 否
213260191 | 123456 | STUDENT | 韩思远 | 订单与购物车；学籍=ACTIVE | 否
213260192 | 123456 | STUDENT | 杨思远 | 订单与购物车；学籍=ACTIVE | 否
213260193 | 123456 | STUDENT | 赵欣然 | 订单与购物车；学籍=ACTIVE | 否
213260194 | 123456 | STUDENT | 钱欣然 | 订单与购物车；学籍=ACTIVE | 否
213260195 | 123456 | STUDENT | 孙欣然 | 订单与购物车；学籍=ACTIVE | 否
213260196 | 123456 | STUDENT | 李欣然 | 订单与购物车；学籍=ACTIVE | 否
213260197 | 123456 | STUDENT | 周欣然 | 订单与购物车；学籍=ACTIVE | 否
213260198 | 123456 | STUDENT | 吴欣然 | 订单与购物车；学籍=ACTIVE | 否
213260199 | 123456 | STUDENT | 郑欣然 | 订单与购物车；学籍=ACTIVE | 否
213260200 | 123456 | STUDENT | 王欣然 | 订单与购物车；学籍=ACTIVE | 否
213260201 | 123456 | STUDENT | 冯欣然 | 订单与购物车；学籍=ACTIVE | 否
213260202 | 123456 | STUDENT | 陈欣然 | 订单与购物车；学籍=ACTIVE | 否
213260203 | 123456 | STUDENT | 褚欣然 | 订单与购物车；学籍=ACTIVE | 否
213260204 | 123456 | STUDENT | 卫欣然 | 订单与购物车；学籍=ACTIVE | 否
213260205 | 123456 | STUDENT | 蒋欣然 | 订单与购物车；学籍=ACTIVE | 否
213260206 | 123456 | STUDENT | 沈欣然 | 订单与购物车；学籍=ACTIVE | 否
213260207 | 123456 | STUDENT | 韩欣然 | 订单与购物车；学籍=ACTIVE | 否
213260208 | 123456 | STUDENT | 杨欣然 | 订单与购物车；学籍=ACTIVE | 否
213260209 | 123456 | STUDENT | 赵浩宇 | 订单与购物车；学籍=ACTIVE | 否
213260210 | 123456 | STUDENT | 钱浩宇 | 订单与购物车；学籍=ACTIVE | 否
213260211 | 123456 | STUDENT | 孙浩宇 | 订单与购物车；学籍=ACTIVE | 否
213260212 | 123456 | STUDENT | 李浩宇 | 订单与购物车；学籍=ACTIVE | 否
213260213 | 123456 | STUDENT | 周浩宇 | 订单与购物车；学籍=ACTIVE | 否
213260214 | 123456 | STUDENT | 吴浩宇 | 订单与购物车；学籍=ACTIVE | 否
213260215 | 123456 | STUDENT | 郑浩宇 | 订单与购物车；学籍=ACTIVE | 否
213260216 | 123456 | STUDENT | 王浩宇 | 订单与购物车；学籍=ACTIVE | 否
213260217 | 123456 | STUDENT | 冯浩宇 | 订单与购物车；学籍=ACTIVE | 否
213260218 | 123456 | STUDENT | 陈浩宇 | 订单与购物车；学籍=ACTIVE | 否
213260219 | 123456 | STUDENT | 褚浩宇 | 订单与购物车；学籍=ACTIVE | 否
213260220 | 123456 | STUDENT | 卫浩宇 | 订单与购物车；学籍=ACTIVE | 否
213260221 | 123456 | STUDENT | 蒋浩宇 | 订单与购物车；学籍=ACTIVE | 否
213260222 | 123456 | STUDENT | 沈浩宇 | 订单与购物车；学籍=ACTIVE | 否
213260223 | 123456 | STUDENT | 韩浩宇 | 订单与购物车；学籍=ACTIVE | 否
213260224 | 123456 | STUDENT | 杨浩宇 | 订单与购物车；学籍=ACTIVE | 否
213260225 | 123456 | STUDENT | 赵若宁 | 订单与购物车；学籍=ACTIVE | 否
213260226 | 123456 | STUDENT | 钱若宁 | 订单与购物车；学籍=ACTIVE | 否
213260227 | 123456 | STUDENT | 孙若宁 | 订单与购物车；学籍=ACTIVE | 否
213260228 | 123456 | STUDENT | 李若宁 | 订单与购物车；学籍=ACTIVE | 否
213260229 | 123456 | STUDENT | 周若宁 | 订单与购物车；学籍=ACTIVE | 否
213260230 | 123456 | STUDENT | 吴若宁 | 订单与购物车；学籍=ACTIVE | 否
213260231 | 123456 | STUDENT | 郑若宁 | 订单与购物车；学籍=ACTIVE | 否
213260232 | 123456 | STUDENT | 王若宁 | 订单与购物车；学籍=ACTIVE | 否
213260233 | 123456 | STUDENT | 冯若宁 | 订单与购物车；学籍=ACTIVE | 否
213260234 | 123456 | STUDENT | 陈若宁 | 订单与购物车；学籍=ACTIVE | 否
213260235 | 123456 | STUDENT | 褚若宁 | 订单与购物车；学籍=ACTIVE | 否
213260236 | 123456 | STUDENT | 卫若宁 | 订单与购物车；学籍=ACTIVE | 否
213260237 | 123456 | STUDENT | 蒋若宁 | 订单与购物车；学籍=ACTIVE | 否
213260238 | 123456 | STUDENT | 沈若宁 | 订单与购物车；学籍=ACTIVE | 否
213260239 | 123456 | STUDENT | 韩若宁 | 订单与购物车；学籍=ACTIVE | 否
213260240 | 123456 | STUDENT | 杨若宁 | 订单与购物车；学籍=ACTIVE | 否
213260241 | 123456 | STUDENT | 赵文博 | 订单与购物车；学籍=ACTIVE | 否
213260242 | 123456 | STUDENT | 钱文博 | 订单与购物车；学籍=ACTIVE | 否
213260243 | 123456 | STUDENT | 孙文博 | 订单与购物车；学籍=ACTIVE | 否
213260244 | 123456 | STUDENT | 李文博 | 订单与购物车；学籍=ACTIVE | 否
213260245 | 123456 | STUDENT | 周文博 | 订单与购物车；学籍=ACTIVE | 否
213260246 | 123456 | STUDENT | 吴文博 | 订单与购物车；学籍=ACTIVE | 否
213260247 | 123456 | STUDENT | 郑文博 | 订单与购物车；学籍=ACTIVE | 否
213260248 | 123456 | STUDENT | 王文博 | 订单与购物车；学籍=ACTIVE | 否
213260249 | 123456 | STUDENT | 冯文博 | 订单与购物车；学籍=ACTIVE | 否
213260250 | 123456 | STUDENT | 陈文博 | 订单与购物车；学籍=ACTIVE | 否
